Status,Last Updated,Jurisdiction Status,Jurisdiction Last Updated,State,County,Jurisdiction,Parent Jurisdiction,Abbreviated District Name,Full District Name,Effective Start Date,Changed or Expired,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Affordable Housing District,Elderly Housing District,1-Family Treatment,2-Family Treatment,3-Family Treatment,4+-Family Treatment,1-Family Min. Lot,1-Family Min. Lot Units,1-Family Front Setback,1-Family Front Setback Units,1-Family Side Setback,1-Family Side Setback Units,1-Family Rear Setback,1-Family Rear Setback Units,1-Family Max. Lot Coverage - Buildings,1-Family Max. Lot Coverage - Buildings Units,1-Family Max. Lot Coverage - Buildings & Impervious Surface,1-Family Max. Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. # Parking Spaces,1-Family Min. # Parking Spaces Units,1-Family Max. Stories,1-Family Max. Stories Units,1-Family Max. Height,1-Family Max. Height Units,1-Family Floor to Area Ratio,1-Family Floor to Area Ratio Units,1-Family Min. Unit Size,1-Family Min. Unit Size Units,2-Family Affordable Housing Only,2-Family Elderly Housing Only,2-Family Min. Lot,2-Family Min. Lot Units,2-Family Max. Density,2-Family Max. Density Units,2-Family Front Setback,2-Family Front Setback Units,2-Family Side Setback,2-Family Side Setback Units,2-Family Rear Setback,2-Family Rear Setback Units,2-Family Max. Lot Coverage - Buildings,2-Family Max. Lot Coverage - Buildings Units,2-Family Max. Lot Coverage - Buildings & Impervious Surface,2-Family Max. Lot Coverage - Buildings & Impervious Surface Units,2-Family Min. # Parking Spaces Per Studio or 1BR,2-Family Min. # Parking Spaces Per Studio or 1BR Units,2-Family Min. # Parking Spaces Per 2+ BR,2-Family Min. # Parking Spaces Per 2+ BR Units,2-Family Max. Stories,2-Family Max. Stories Units,2-Family Max. Height,2-Family Max. Height Units,2-Family Floor to Area Ratio,2-Family Floor to Area Ratio Units,2-Family Min. Unit Size,2-Family Min. Unit Size Units,3-Family Affordable Housing Only,3-Family Elderly Housing Only,3-Family Min. Lot,3-Family Min. Lot Units,3-Family Max. Density,3-Family Max. Density Units,3-Family Front Setback,3-Family Front Setback Units,3-Family Side Setback,3-Family Side Setback Units,3-Family Rear Setback,3-Family Rear Setback Units,3-Family Max. Lot Coverage - Buildings,3-Family Max. Lot Coverage - Buildings Units,3-Family Max. Lot Coverage - Buildings & Impervious Surface,3-Family Max. Lot Coverage - Buildings & Impervious Surface Units,3-Family Min. # Parking Spaces Per Studio or 1BR,3-Family Min. # Parking Spaces Per Studio or 1BR Units,3-Family Min. # Parking Spaces Per 2+ BR,3-Family Min. # Parking Spaces Per 2+ BR Units,3-Family Connection to Sewer and/or Water Required,3-Family Connection or Proximity to Public Transit Required,3-Family Max. Stories,3-Family Max. Stories Units,3-Family Max. Height,3-Family Max. Height Units,3-Family Floor to Area Ratio,3-Family Floor to Area Ratio Units,3-Family Min. Unit Size,3-Family Min. Unit Size Units,3-Family Max. Bedrooms Per Unit,3-Family Max. Bedrooms Per Unit Units,4+-Family Affordable Housing Only,4+-Family Elderly Housing Only,4+-Family Min. Lot,4+-Family Min. Lot Units,4+-Family Max. Density,4+-Family Max. Density Units,4+-Family Front Setback,4+-Family Front Setback Units,4+-Family Side Setback,4+-Family Side Setback Units,4+-Family Rear Setback,4+-Family Rear Setback Units,4+-Family Max. Lot Coverage - Buildings,4+-Family Max. Lot Coverage - Buildings Units,4+-Family Max. Lot Coverage - Buildings & Impervious Surface,4+-Family Max. Lot Coverage - Buildings & Impervious Surface Units,4+-Family Min. # Parking Spaces Per Studio or 1BR,4+-Family Min. # Parking Spaces Per Studio or 1BR Units,4+-Family Min. # Parking Spaces Per 2+ BR,4+-Family Min. # Parking Spaces Per 2+ BR Units,4+-Family Connection to Sewer and/or Water Required,4+-Family Connection or Proximity to Public Transit Required,4+-Family Max. Stories,4+-Family Max. Stories Units,4+-Family Max. Height,4+-Family Max. Height Units,4+-Family Floor to Area Ratio,4+-Family Floor to Area Ratio Units,4+-Family Min. Unit Size,4+-Family Min. Unit Size Units,4+-Family Max. Bedrooms,4+-Family Max. Bedrooms Units,4+-Family Max. Units,4+-Family Max. Units Units,Affordable Housing (AH) Treatment,AH - Definition,AH - Elderly Housing Only,AH Min. Lot,AH Min. Lot Units,AH Max. Density,AH Max. Density Units,AH Min. Parking Spaces Per Studio or 1BR,AH Min. Parking Spaces Per Studio or 1BR Units,AH Min. Parking Spaces Per 2+ BR,AH Min. Parking Spaces Per 2+ BR Units,AH Connection to Sewer and/or Water Required,AH Connection or Proximity to Public Transit Required,AH Min. Unit Size,AH Min. Unit Size Units,AH Max. Bedrooms,AH Max. Bedrooms Units,AH Max. Units,AH Max. Units Units,Accessory Dwelling Unit (ADU) Treatment,ADU Employee or Family Occupancy Required,ADU Renter Occupancy Prohibited,ADU Owner Occupancy Required,ADU Elderly Housing Only,ADU Min. Lot,ADU Min. Lot Units,ADU Min. Parking Spaces,ADU Min. Parking Spaces Units,"ADU Restricted to Only Primary Structure (i.e., No Outbuildings like Garages)",ADU Max. Percent Main Unit,ADU Max. Percent Main Unit Units,ADU Max. Size,ADU Max. Size Units,ADU Max. Bedrooms,ADU Max. Bedrooms Units,Planned Residential Development (PRD) Treatment,Mobile or Manufactured Home Park (Y/N),PRD Min. Lot,PRD Min. Lot Units,PRD Max. Density,PRD Max. Density Units,PRD Max. Units,PRD Max. Units Units,Special Notes,Tooltip Notes
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,A-1,A-1 Apartment,2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,Acres,15 (25 if building taller than 35 feet,Alternatives,10 (15 if building taller than 35 feet),Alternatives,15 (25 if building taller than 35 feet,Alternatives,25,Percent,25,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,35,Feet,.4 / 3+ acres.5 / <3 acres,Alternatives,,Alternatives,No,No,0.23,Acres per 2-Family,,Alternatives,15; 25 if building taller than 35 feet,Alternatives,10; 15 if building taller than 35 feet,Alternatives,15; 25 if building taller than 35 feet,Alternatives,25,Percent,25,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,,Alternatives,35,Feet,.4 / 3+ acres; .5 / < 3 acres,Alternatives,,Alternatives,No,No,0.23,Acres per 3-Family,,Alternatives,15; 5' stepback at 35',Alternatives,10; 5' stepback at 35',Alternatives,15; 5' stepback at 35',Alternatives,25,Percent,25,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,,Alternatives,35,Feet,.4 / 3+ acres.5 / < 3 acres,Alternatives,,Alternatives,,Alternatives,No,No,0.23,Acres per 4+-Family,,Alternatives,15; 5' stepback at 35',Alternatives,10; 5' stepback at 35',Alternatives,15; 5' stepback at 35',Alternatives,25,Percent,25,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,,Alternatives,35,Feet,.4 / 3+ acres.5 / < 3 acres,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.23,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,720 (see note),Alternatives,,Alternatives,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within), 0.23 - cluster ho",Alternatives,"Base Standard; Cluster housing - total project area / 2,500 sf",Alternatives,; Cluster housing - max 8 units in one structure,Alternatives,ADU max depends on lot size,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,A-2,A-2 Apartment,2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,Acres,15 (25 if building taller than 35 feet),Alternatives,10 (15 if building taller than 35 feet),Alternatives,15 (25 if building taller than 35 feet),Alternatives,35,Percent,35,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,35,Feet,0.9,Ratio,,Alternatives,No,No,0.23,Acres per 2-Family,,Alternatives,15; 25 if building taller than 35 feet),Alternatives,10; 15 if building taller than 35 feet,Alternatives,15; 25 if building taller than 35 feet,Alternatives,35,Percent,35,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,,Alternatives,60,Feet,0.9,Ratio,,Alternatives,No,No,0.23,Acres per 3-Family,,Alternatives,15; 5' stepback at 35',Alternatives,10; 5' stepback at 35',Alternatives,15; 5' stepback at 35',Alternatives,35,Percent,35,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,,Alternatives,60,Feet,0.9,Ratio,,Alternatives,,Alternatives,No,No,0.23,Acres per 4+-Family,,Alternatives,15; 5' stepback at 35',Alternatives,10; 5' stepback at 35',Alternatives,15; 5' stepback at 35',Alternatives,35,Percent,35,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,,Alternatives,60,Feet,0.9,Ratio,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.23,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,720 (see note),Alternatives,,Alternatives,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within), 0.23 - cluster ho",Alternatives,"Base Standard; Cluster housing - total project area / 2,500 sf",Alternatives,; Cluster housing - max 8 units in one structure,Alternatives,ADU max depends on lot size,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,AG,AG Agriculture,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,"19.30A.100 - Exemptions pursuant to State law. - B.Affordable housing projects as set forth in chapter 201E, Hawai'i Revised Statutes, shall be exempt from the requirements of this chapter.",No,,Alternatives,,Alternatives,,Alternatives,,Alternatives,No,No,,Alternatives,,Alternatives,,Alternatives,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,AP,AP Airport,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,B-1,B-1 Business - Neighborhood,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.14,Acres,15,Feet,6,Feet,10,Feet,,N/A,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,30,Feet,,Alternatives,,Alternatives,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within)",Alternatives,Base Standard,Alternatives,,Alternatives,,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,B-2,B-2 Business-Community,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Prohibited,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,0.14,Acres per 2-Family,,Alternatives,,Feet,None or same as adjoining zoning district,Alternatives,None or some as adjoining zoning district,Alternatives,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,,Alternatives,"35 in Molokai, 45 in Hana and West Maui, 90 in rest",Alternatives,2,Ratio,,Alternatives,No,No,0.14,Acres per 3-Family,,Alternatives,,Alternatives,"None or same as adjoining zoning category, whichever is greater",Alternatives,"None or same as adjoining zoning category, whichever is greater",Alternatives,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,No,No,,Alternatives,"90 for Maui, 45 for West Maui CPA, Hāna CPA, & Lāna‘i, 35 for Moloka‘i",Alternatives,2,Ratio,,Alternatives,,Alternatives,No,No,0.14,Acres per 4+-Family,,Alternatives,,Alternatives,"None or same as adjoining zoning category, whichever is greater",Alternatives,"None or same as adjoining zoning category, whichever is greater",Alternatives,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,No,No,,Alternatives,"90 for Maui, 45 for West Maui CPA, Hāna CPA, & Lāna‘i, 35 for Moloka‘i",Alternatives,2,Ratio,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.14,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,500,Square Feet,,Alternatives,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within)",Alternatives,Base Standard,Alternatives,,Alternatives,ADU: Permitted above or below the first floor of a permitted use,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,B-3,B-3 Business - Central District,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Prohibited,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,0.14,Acres per 2-Family,,Alternatives,,Feet,None or same as adjoining zoning district,Alternatives,None or some as adjoining zoning district,Alternatives,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,,Alternatives,"35 in Molokai, 45 in Hana and West Maui, 144 elsewhere",Alternatives,4,Ratio,,Alternatives,No,No,0.14,Acres per 3-Family,,Alternatives,,Alternatives,"None or same as adjoining zoning category, whichever is greater",Alternatives,"None or same as adjoining zoning category, whichever is greater",Alternatives,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,No,No,,Alternatives,"144 for Maui, 45 for West Maui CPA, Hāna CPA, & Lāna‘i, 35 for Moloka‘i",Alternatives,4,Ratio,,Alternatives,,Alternatives,No,No,0.14,Acres per 4+-Family,,Alternatives,,Alternatives,"None or same as adjoining zoning category, whichever is greater",Alternatives,"None or same as adjoining zoning category, whichever is greater",Alternatives,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,No,No,,Alternatives,"144 for Maui, 45 for West Maui CPA, Hāna CPA, & Lāna‘i, 35 for Moloka‘i",Alternatives,4,Ratio,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.14,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,500,Square Feet,,Alternatives,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within)",Alternatives,Base Standard,Alternatives,,Alternatives,ADU: Permitted above or below the first floor of a permitted use,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,B-CT,B-CT Business - Country Town,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Prohibited,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,0.14,Acres per 2-Family,,Alternatives,,Feet,,Feet,,Feet,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,,Alternatives,35,Feet,,Alternatives,,Alternatives,No,No,0.14,Acres per 3-Family,,Alternatives,,Alternatives,,Contextual,,Contextual,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,No,No,,Alternatives,35,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,0.14,Acres per 4+-Family,,Alternatives,,Alternatives,,Contextual,,Contextual,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,No,No,,Alternatives,35,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within)",Alternatives,Base Standard,Alternatives,,Alternatives,Residential Units allowed except on Lanai and Molokai. Setback requirements take on those of adjacent parcel if it is in a different zoning district,
Completed,2023-09-12,Published,2023-09-13,Hawaii,Maui County,Maui County,,BMF-MRA,Business Multi Family - Wailuku Redevelopment Area,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.1,Acres,15,Feet,10,Feet,10,Feet,,Percent,,Percent,"2 + 1/add'l 1,000 sqft",Contextual,2,Stories,30,Feet,,Ratio,,Square Feet,No,No,0.1,Acres per 2-Family,,Units per Acre,15,Feet,10,Feet,10,Feet,60,Percent,60,Percent,"2 + 1/add'l 1,000 sqft",Contextual,"2 + 1/add'l 1,000 sqft",Contextual,,Stories,30; 60 on some streets,Contextual,1.2,Ratio,,Square Feet,No,No,0.1,Acres per 3-Family,,Units per Acre,Max 30ft based on street,Contextual,Max 30ft based on street,Contextual,Max 30ft based on street,Contextual,,Percent,,Percent,"2 + 1/add'l 1,000 sqft",Contextual,"2 + 1/add'l 1,000 sqft",Contextual,No,No,,Stories,30; 60 on some streets,Contextual,3,Ratio,,Square Feet,,Bedrooms per Unit,No,No,0.1,Acres per 4+-Family,,Units per Acre,Max 30ft based on street,Contextual,Max 30ft based on street,Contextual,Max 30ft based on street,Contextual,,N/A,,N/A,"2 + 1/add'l 1,000 sqft",Contextual,"2 + 1/add'l 1,000 sqft",Contextual,No,No,,N/A,30; 60 on some streets,Contextual,3,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.09,Acres,0.99,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,500,Square Feet,,Bedrooms per Unit,Allowed/Conditional,No,10; 3 in State Urban District,Contextual,Base Standard,Contextual,,Units per PRD,"If a front, rear, or side yard property line adjoins a lot in the residential or multi-family district, that front, rear, or side yard setback will be the same as that of the adjoining district.; Additional heights may be permitted, under the Wailuku Redevelopment Area Design Guidelines, for architectural elements such as false fronts, spires, motifs, and similar features.",
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,BR,BR Business - Resort,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.14,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,500,Square Feet,,Alternatives,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,ADU: Permitted above or below the first floor of a permitted use,
