,Jurisdiction,Abbreviated District Name,Full District Name,Type of Zoning District,1-Family Treatment,1-Family Max. Height,1-Family Floor to Area Ratio,4+-Family Treatment,1-Family Min. Lot,1-Family Min. # Parking Spaces,Accessory Dwelling Unit (ADU) Treatment,zone_area,zone_pct,single_family,num_suffix
0,Hawaii County,A-100a,Agricultural District - minimum 100 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,1625587.7952341123,0.0,False,100.0
76,Hawaii County,RM-2.5,"Multiple-Family Residential - 2,500 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,321703.20703900687,0.0,False,2.5
75,Hawaii County,RM-20,"Multiple-Family Residential - 20,000 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.46,2,Prohibited,311275.3851754012,0.0,True,20.0
74,Hawaii County,RM-2,"Multiple-Family Residential - 2,000 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,764924.8085903096,0.0,False,2.0
73,Hawaii County,RM-1.5,"Multiple-Family Residential - 1,500 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,1164468.393451506,0.0,False,1.5
72,Hawaii County,RM-15,"Multiple-Family Residential - 15,000 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.34,2,Prohibited,100307.05280850192,0.0,True,15.0
71,Hawaii County,RM-14.5,"Multiple-Family Residential - 14,500 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.33,2,Prohibited,757925.901688115,0.0,True,14.0
70,Hawaii County,RM-1.25,"Multiple-Family Residential - 1,250 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,39050.07890827153,0.0,False,1.2
69,Hawaii County,RM-10,"Multiple-Family Residential - 10,000 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.23,2,Prohibited,147997.805950716,0.0,True,10.0
68,Hawaii County,RM-1,"Multiple-Family Residential - 1,000 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,661902.2109878411,0.0,False,1.0
67,Hawaii County,RD-3.75,Double-Family Residential Districts,Primarily Residential,Allowed/Conditional,35,,Prohibited,0.17,2,Prohibited,579918.3698816568,0.0,True,3.7
66,Hawaii County,RCX-20,"Residential-Commercial Mixed Use Districts - 20,000 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.46,2,Prohibited,5934.9895924326265,0.0,False,20.0
65,Hawaii County,RCX-2,"Residential-Commercial Mixed Use Districts - 2,000 square feeet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.17,2,Prohibited,92253.99949816884,0.0,False,2.0
64,Hawaii County,RCX-10,"Residential-Commercial Mixed Use Districts - 10,000 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.23,2,Prohibited,2133.044153319374,0.0,False,10.0
63,Hawaii County,RA-.5a,Residential & Agricultural - Minimum 0.5 acres,Mixed with Residential,Allowed/Conditional,35,,Prohibited,0.5,2,Allowed/Conditional,4883651.151087097,0.0,True,
62,Hawaii County,RA-5a,Residential & Agricultural - Minimum 5 acres,Mixed with Residential,Allowed/Conditional,35,,Prohibited,5,2,Allowed/Conditional,176677.12843826093,0.0,True,5.0
61,Hawaii County,RA-3a,Residential & Agricultural - Minimum 3 acres,Mixed with Residential,Allowed/Conditional,35,,Prohibited,3,2,Allowed/Conditional,38896.02515309761,0.0,True,3.0
60,Hawaii County,RA-2a,Residential & Agricultural - Minimum 2 acres,Mixed with Residential,Allowed/Conditional,35,,Prohibited,2,2,Allowed/Conditional,1232899.7025352144,0.0,True,2.0
58,Hawaii County,RA-1.5a,Residential & Agricultural - Minimum 1.5 acres,Mixed with Residential,Allowed/Conditional,35,,Prohibited,1.5,2,Allowed/Conditional,12388.51371636381,0.0,True,1.5
54,Hawaii County,ML-3a,"Limited Industrial - 3,000 square feet",Nonresidential,Prohibited,,,Prohibited,,,Prohibited,158835.6898010332,0.0,False,3.0
106,Hawaii County,V-7,"Resort-Hotel - 7,000 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,197877.67762564475,0.0,False,7.0
52,Hawaii County,ML-1a,"Limited Industrial - 1,000 square feet",Nonresidential,Prohibited,,,Prohibited,,,Prohibited,891937.517584886,0.0,False,1.0
77,Hawaii County,RM-3,"Multiple-Family Residential - 3,000 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,2101367.563354421,0.0,False,3.0
51,Hawaii County,ML-10,"Limited Industrial - 10,000 square feet",Nonresidential,Prohibited,,,Prohibited,,,Prohibited,103801.01143644599,0.0,False,10.0
78,Hawaii County,RM-30,"Multiple-Family Residential - 30,000 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.69,2,Prohibited,211995.01963276003,0.0,True,30.0
80,Hawaii County,RM-4,"Multiple-Family Residential - 4,000 square feet",Primarily Residential,Allowed/Conditional,45; 120 in Hilo,,Allowed/Conditional,0.17,2,Prohibited,3175922.7453463213,0.0,True,4.0
105,Hawaii County,V-4,"Resort-Hotel - 4,000 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,49558.26458464035,0.0,False,4.0
104,Hawaii County,V-2a,Resort-Hotel - 2 acres,Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,2,2,Prohibited,40055.43760491327,0.0,False,2.0
103,Hawaii County,V-2.25,"Resort-Hotel - 2,250 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,296149.3377209448,0.0,False,2.2
102,Hawaii County,V-2.0,"Resort-Hotel - 2,000 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,134848.3008600482,0.0,False,2.0
101,Hawaii County,V-2,"Resort-Hotel - 2,000 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,2155.1621313927944,0.0,False,2.0
100,Hawaii County,V-1.75,"Resort-Hotel - 1,750 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,34514.224093841214,0.0,False,1.7
99,Hawaii County,V-1.5,"Resort-Hotel - 1,500 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,171839.8945220636,0.0,False,1.5
98,Hawaii County,V-1.25,"Resort-Hotel - 1,250 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,2382185.384891975,0.0,False,1.2
97,Hawaii County,V-1.0,"Resort-Hotel - 1,000 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,94511.19902265405,0.0,False,1.0
96,Hawaii County,V-1,"Resort-Hotel - 1,000 square feet",Mixed with Residential,Allowed/Conditional,45,,Allowed/Conditional,0.34,2,Prohibited,8897.44675502747,0.0,False,1.0
95,Hawaii County,UNV,University - 10 acres,Nonresidential,Prohibited,,,Prohibited,,,Prohibited,1259814.773571326,0.0,False,
93,Hawaii County,RS-5a,Single-Family Residential - 5 acres,Primarily Residential,Allowed/Conditional,35,,Prohibited,5,2,Allowed/Conditional,131169.61896831292,0.0,True,5.0
92,Hawaii County,RS-40,"Single-Family Residential - 40,000 square feet",Primarily Residential,Allowed/Conditional,35,,Prohibited,0.92,2,Allowed/Conditional,4044.057638755546,0.0,True,40.0
91,Hawaii County,RS-22,"Single-Family Residential - 22,000 square feet",Primarily Residential,Allowed/Conditional,35,,Prohibited,0.49,2,Allowed/Conditional,636043.969313777,0.0,True,22.0
