house_name,house_area,affected_area,affected_pct
State House District 18,26583282.23500973,6589387.057687347,24.8
State House District 19,35330543.77703741,8688061.700702202,24.6
State House District 20,10939268.619540827,5146815.731968367,47.0
State House District 21,15211733.171784494,5890808.181779545,38.7
State House District 22,19131109.381455965,7100267.393748939,37.1
State House District 26,4799805.438003413,1200673.8694037364,25.0
State House District 27,20981532.74151903,6275466.050695451,29.9
State House District 28,5667133.9872921165,841400.9432526857,14.799999999999999
State House District 29,17139936.628354497,4628680.11652998,27.0
State House District 30,29284373.98513408,1979850.7826578277,6.800000000000001
State House District 31,16239299.594504856,3022896.7031284356,18.6
State House District 32,52176914.66586826,5887202.154128919,11.3
State House District 33,27183745.460010733,6271311.484269626,23.1
State House District 34,38820109.84280515,6127702.929577689,15.8
State House District 35,17363041.755024355,4006632.038127821,23.1
State House District 36,4744249.215723469,2615182.8617528584,55.1
State House District 37,60915968.715350606,5832156.315416195,9.6
State House District 38,32833743.70285104,4557272.702356857,13.900000000000002
State House District 39,69209774.30446514,5300538.490117173,7.7
State House District 40,21161721.70015161,2784400.252472856,13.200000000000001
State House District 41,35919488.1423489,3102385.4936216287,8.6
State House District 42,11177610.266723739,3117222.0678559504,27.900000000000002
State House District 43,21995828.932831574,5828513.343562018,26.5
State House District 44,44943033.833631694,5960009.981393109,13.3
State House District 45,127336049.55226147,3450471.981331351,2.7
State House District 46,225789757.09074268,5637315.001963911,2.5
State House District 47,352893170.580377,3143189.1963165253,0.8999999999999999
State House District 48,82895062.30899823,3958714.9851965406,4.8
State House District 49,33237073.792940263,5867545.679528322,17.7
State House District 50,43766174.4784651,7286836.827154596,16.6
State House District 51,36973738.0443639,5091455.17907909,13.8
