state_house,house_name,county,zone_pct
H01,State House District 1,HAWAII,0.7000000000000001
H02,State House District 2,HAWAII,19.6
H03,State House District 3,HAWAII,2.5
H04,State House District 4,HAWAII,0.8999999999999999
H05,State House District 5,HAWAII,0.2
H06,State House District 6,HAWAII,4.2
H07,State House District 7,HAWAII,1.0999999999999999
H08,State House District 8,HAWAII,1.9
H09,State House District 9,MAUI,6.9
H10,State House District 10,MAUI,5.8999999999999995
H11,State House District 11,MAUI,6.2
H12,State House District 12,MAUI,0.8
H13,State House District 13,MAUI,0.2
H14,State House District 14,MAUI,1.9
H15,State House District 15,KAUAI,1.5
H16,State House District 16,KAUAI,3.2
H17,State House District 17,KAUAI,1.0999999999999999
H18,State House District 18,OAHU,26.1
H19,State House District 19,OAHU,27.500000000000004
H20,State House District 20,OAHU,59.4
H21,State House District 21,OAHU,38.800000000000004
H22,State House District 22,OAHU,37.2
H26,State House District 26,OAHU,25.1
H27,State House District 27,OAHU,30.0
H28,State House District 28,OAHU,14.799999999999999
H29,State House District 29,OAHU,27.200000000000003
H30,State House District 30,OAHU,6.800000000000001
H31,State House District 31,OAHU,18.8
H32,State House District 32,OAHU,11.5
H33,State House District 33,OAHU,23.1
H34,State House District 34,OAHU,16.3
H35,State House District 35,OAHU,23.400000000000002
H36,State House District 36,OAHU,61.7
H37,State House District 37,OAHU,9.6
H38,State House District 38,OAHU,14.000000000000002
H39,State House District 39,OAHU,7.8
H40,State House District 40,OAHU,14.6
H41,State House District 41,OAHU,9.6
H42,State House District 42,OAHU,28.000000000000004
H43,State House District 43,OAHU,26.6
H44,State House District 44,OAHU,15.4
H45,State House District 45,OAHU,3.2
H46,State House District 46,OAHU,2.6
H47,State House District 47,OAHU,2.0
H48,State House District 48,OAHU,7.3
H49,State House District 49,OAHU,18.9
H50,State House District 50,OAHU,21.6
H51,State House District 51,OAHU,18.4
