state_house,lud_code,house_name,county,slud_in_house_area,house_area,slud_pct
H18,1,State House District 18,OAHU,11968962.85911387,26583282.23500973,45.0
H18,4,State House District 18,OAHU,14403745.769483268,26583282.23500973,54.2
H19,1,State House District 19,OAHU,11938611.917192623,35330543.77703741,33.800000000000004
H19,4,State House District 19,OAHU,23352586.361601904,35330543.77703741,66.10000000000001
H20,1,State House District 20,OAHU,8808516.473030021,10939268.619540827,80.5
H20,4,State House District 20,OAHU,2077190.6399981813,10939268.619540827,19.0
H21,1,State House District 21,OAHU,6884121.534444577,15211733.171784494,45.300000000000004
H21,3,State House District 21,OAHU,424420.4568644462,15211733.171784494,2.8000000000000003
H21,4,State House District 21,OAHU,7903191.1671496695,15211733.171784494,52.0
H22,1,State House District 22,OAHU,8259715.956202158,19131109.381455965,43.2
H22,4,State House District 22,OAHU,10871393.439062506,19131109.381455965,56.8
H23,1,State House District 23,OAHU,2363384.4682317367,2363384.4682335565,100.0
H24,1,State House District 24,OAHU,2698815.3676576847,2757070.8169657383,97.89999999999999
H24,4,State House District 24,OAHU,21249.395440537555,2757070.8169657383,0.8
H25,1,State House District 25,OAHU,5169458.291060129,5186360.960943495,99.7
H26,1,State House District 26,OAHU,2908767.247078425,4799805.438003413,60.6
H26,4,State House District 26,OAHU,1891038.1909181739,4799805.438003413,39.4
H27,1,State House District 27,OAHU,7872192.704197027,20981532.74151903,37.5
H27,4,State House District 27,OAHU,13109340.010961805,20981532.74151903,62.5
H28,1,State House District 28,OAHU,5591654.459525519,5667133.9872921165,98.7
H29,1,State House District 29,OAHU,5840228.432286096,17139936.628354497,34.1
H29,4,State House District 29,OAHU,11299707.88974641,17139936.628354497,65.9
H30,1,State House District 30,OAHU,27839964.313970014,29284373.98513408,95.1
H30,4,State House District 30,OAHU,821460.5015441106,29284373.98513408,2.8000000000000003
H31,1,State House District 31,OAHU,14564568.246088468,16239299.594504856,89.7
H31,4,State House District 31,OAHU,1610293.4087231895,16239299.594504856,9.9
H32,1,State House District 32,OAHU,16174973.29703656,52176914.66586826,31.0
H32,3,State House District 32,OAHU,43636.982811881346,52176914.66586826,0.1
H32,4,State House District 32,OAHU,35919337.50783361,52176914.66586826,68.8
H33,1,State House District 33,OAHU,9989130.721111612,27183745.460010733,36.7
H33,3,State House District 33,OAHU,50207.74580681555,27183745.460010733,0.2
H33,4,State House District 33,OAHU,17144357.692137398,27183745.460010733,63.1
H34,1,State House District 34,OAHU,10708277.107865714,38820109.84280515,27.6
H34,3,State House District 34,OAHU,1888975.8091903306,38820109.84280515,4.9
H34,4,State House District 34,OAHU,26062006.263428785,38820109.84280515,67.10000000000001
H35,1,State House District 35,OAHU,9315663.139929544,17363041.755024355,53.7
H35,3,State House District 35,OAHU,7501047.199088778,17363041.755024355,43.2
H35,4,State House District 35,OAHU,156380.47802553224,17363041.755024355,0.8999999999999999
H36,1,State House District 36,OAHU,4117861.6886926605,4744249.215723469,86.8
H36,3,State House District 36,OAHU,4.637175072356105,4744249.215723469,0.0
H36,4,State House District 36,OAHU,285744.4745224649,4744249.215723469,6.0
H37,1,State House District 37,OAHU,16217017.392271109,60915968.715350606,26.6
H37,3,State House District 37,OAHU,23066382.302856628,60915968.715350606,37.9
H37,4,State House District 37,OAHU,21632569.0422712,60915968.715350606,35.5
H38,1,State House District 38,OAHU,7770584.505568081,32833743.70285104,23.7
H38,3,State House District 38,OAHU,5610449.290259212,32833743.70285104,17.1
H38,4,State House District 38,OAHU,19452709.86297557,32833743.70285104,59.199999999999996
H39,1,State House District 39,OAHU,14993939.486772474,69209774.30446514,21.7
H39,3,State House District 39,OAHU,41929581.512049645,69209774.30446514,60.6
H39,4,State House District 39,OAHU,12233538.666858537,69209774.30446514,17.7
H40,1,State House District 40,OAHU,15024964.9314757,21161721.70015161,71.0
H40,3,State House District 40,OAHU,5967227.811177048,21161721.70015161,28.199999999999996
H40,4,State House District 40,OAHU,50352.027937110426,21161721.70015161,0.2
H41,1,State House District 41,OAHU,34946745.45373148,35919488.1423489,97.3
H41,3,State House District 41,OAHU,698529.7979867216,35919488.1423489,1.9
H42,1,State House District 42,OAHU,10640851.623987354,11177610.266723739,95.19999999999999
H42,3,State House District 42,OAHU,536758.7950378649,11177610.266723739,4.8
H43,1,State House District 43,OAHU,13307266.413321504,21995828.932831574,60.5
H43,3,State House District 43,OAHU,6970625.463704406,21995828.932831574,31.7
H43,4,State House District 43,OAHU,1717937.205636375,21995828.932831574,7.8
H44,1,State House District 44,OAHU,16813506.043869205,44943033.833631694,37.4
H44,3,State House District 44,OAHU,20657120.60033626,44943033.833631694,46.0
H44,4,State House District 44,OAHU,7287854.569114254,44943033.833631694,16.2
H45,1,State House District 45,OAHU,12908018.611412643,127336049.55226147,10.100000000000001
H45,3,State House District 45,OAHU,47320403.7893501,127336049.55226147,37.2
H45,4,State House District 45,OAHU,66864673.94434974,127336049.55226147,52.5
H46,1,State House District 46,OAHU,21707001.714763172,225789757.09074268,9.6
H46,3,State House District 46,OAHU,123634760.96329792,225789757.09074268,54.800000000000004
H46,4,State House District 46,OAHU,80137428.81880088,225789757.09074268,35.5
H47,1,State House District 47,OAHU,15359277.293518376,352893170.580377,4.3999999999999995
H47,3,State House District 47,OAHU,175417780.30136362,352893170.580377,49.7
H47,4,State House District 47,OAHU,161126032.5398683,352893170.580377,45.7
H48,1,State House District 48,OAHU,18140145.94176285,82895062.30899823,21.9
H48,3,State House District 48,OAHU,11642191.464496369,82895062.30899823,14.000000000000002
H48,4,State House District 48,OAHU,52851765.140669264,82895062.30899823,63.800000000000004
H49,1,State House District 49,OAHU,9652558.641408626,33237073.792940263,28.999999999999996
H49,3,State House District 49,OAHU,2800678.3264035834,33237073.792940263,8.4
H49,4,State House District 49,OAHU,20771144.846618906,33237073.792940263,62.5
H50,1,State House District 50,OAHU,22653433.013500303,43766174.4784651,51.800000000000004
H50,3,State House District 50,OAHU,2588443.5794604677,43766174.4784651,5.8999999999999995
H50,4,State House District 50,OAHU,18329272.25637761,43766174.4784651,41.9
H51,1,State House District 51,OAHU,16101127.736622315,36973738.0443639,43.5
H51,3,State House District 51,OAHU,9615565.055872522,36973738.0443639,26.0
H51,4,State House District 51,OAHU,10926193.888868999,36973738.0443639,29.599999999999998
